date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
18.08.2022,0,1,17,17,0,1,2,0,0,0,3,1,7,200
19.08.2022,5,0,6,16,0,0,1,0,1,0,10,2,69,400
20.08.2022,0,0,2,17,0,0,0,0,3,0,8,8,7,200
21.08.2022,0,0,10,12,0,0,0,0,2,0,5,3,6,300
22.08.2022,4,0,4,6,4,1,0,0,0,0,7,9,6,200
23.08.2022,1,0,1,8,2,0,0,0,0,0,2,2,1,150
24.08.2022,1,0,3,5,0,1,0,0,0,0,3,2,10,150
25.08.2022,1,0,1,2,0,3,6,0,0,0,5,9,0,150
26.08.2022,0,0,3,6,0,0,0,0,0,0,7,6,2,400
27.08.2022,0,0,5,3,0,0,2,0,0,0,3,2,3,250
28.08.2022,0,0,5,3,0,0,0,0,0,0,3,2,6,250
29.08.2022,1,0,10,12,0,1,5,0,2,0,5,6,17,350
30.08.2022,2,0,19,25,0,1,3,0,2,0,7,3,29,450
31.08.2022,1,0,12,18,0,0,3,0,0,0,20,2,19,350
01.09.2022,1,0,24,33,0,1,2,0,1,0,23,2,3,450
02.09.2022,0,0,11,21,2,0,2,0,1,0,12,2,8,350
03.09.2022,0,1,8,37,5,0,4,0,0,0,25,11,21,350
04.09.2022,3,1,13,27,0,1,1,0,1,0,15,0,8,450
05.09.2022,0,0,10,29,2,0,0,0,1,0,19,3,10,300
06.09.2022,0,0,22,25,4,1,2,0,2,0,9,9,19,350
07.09.2022,0,1,15,36,5,1,4,0,0,0,20,4,15,460
08.09.2022,3,2,32,37,0,2,5,0,1,0,15,4,24,640
09.09.2022,0,0,11,18,0,1,1,0,4,0,10,4,55,650
10.09.2022,3,0,22,9,1,1,5,0,2,0,14,10,27,350
11.09.2022,0,3,4,33,1,1,0,0,1,0,18,4,19,400
12.09.2022,0,1,6,23,0,0,0,0,0,0,14,1,18,300
13.09.2022,3,1,10,22,17,0,0,0,0,0,7,1,6,350
14.09.2022,2,2,11,3,0,2,0,0,3,0,5,4,32,350
15.09.2022,0,4,5,17,0,0,0,0,0,0,13,0,21,200
16.09.2022,1,0,7,8,0,1,1,0,1,0,6,0,28,200
17.09.2022,0,1,4,11,3,0,0,0,0,0,3,3,21,200
18.09.2022,0,0,3,17,2,1,0,0,1,0,8,7,7,230
19.09.2022,0,0,4,2,0,0,0,0,3,0,2,2,3,170
20.09.2022,0,1,10,4,1,0,6,0,0,0,4,5,6,160
21.09.2022,0,1,17,24,0,0,0,0,0,0,11,7,23,300
22.09.2022,1,0,1,28,1,1,0,0,0,0,9,9,20,400
23.09.2022,1,1,14,20,0,1,8,0,1,0,18,9,29,550
24.09.2022,0,1,6,11,0,1,1,0,0,0,8,6,22,240
25.09.2022,1,4,7,25,1,0,1,0,4,0,13,10,20,400
26.09.2022,1,1,1,25,0,4,2,0,1,0,15,4,10,500
27.09.2022,3,1,9,24,0,0,1,0,0,0,16,7,19,550
28.09.2022,0,1,3,8,1,0,0,0,0,0,6,12,12,400
29.09.2022,0,0,4,20,4,0,0,0,0,0,13,6,9,430
