date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
09.02.2024,0.0,0,24.0,22.0,1.0,0,1.0,0.0,4.0,0.0,2.0,18.0,38.0,910
08.02.2024,1.0,0,24.0,20.0,31.0,1,0.0,0.0,8.0,0.0,11.0,14.0,27.0,910
07.02.2024,0.0,0,20.0,22.0,1.0,0,1.0,0.0,1.0,0.0,7.0,4.0,33.0,890
06.02.2024,1.0,0,18.0,35.0,0.0,0,0.0,0.0,10.0,0.0,17.0,0.0,41.0,1020
05.02.2024,1.0,0,18.0,4.0,0.0,0,0.0,0.0,7.0,0.0,5.0,0.0,19.0,810
04.02.2024,0.0,0,31.0,13.0,1.0,0,0.0,0.0,6.0,0.0,2.0,12.0,41.0,810
03.02.2024,0.0,0,26.0,13.0,0.0,0,1.0,0.0,3.0,0.0,10.0,15.0,36.0,880
02.02.2024,0.0,0,46.0,19.0,0.0,0,2.0,0.0,8.0,0.0,9.0,10.0,49.0,830
01.02.2024,0.0,0,33.0,16.0,1.0,0,2.0,0.0,10.0,0.0,12.0,36.0,36.0,1000
31.01.2024,0.0,0,51.0,32.0,0.0,0,2.0,0.0,4.0,0.0,10.0,16.0,40.0,1090
30.01.2024,3.0,1,31.0,29.0,0.0,0,0.0,0.0,5.0,0.0,10.0,35.0,42.0,960
29.01.2024,0.0,0,16.0,25.0,1.0,0,0.0,0.0,7.0,0.0,10.0,8.0,46.0,1070
28.01.2024,0.0,0,12.0,19.0,0.0,0,0.0,0.0,3.0,0.0,9.0,4.0,31.0,740
27.01.2024,0.0,0,3.0,15.0,0.0,0,0.0,0.0,8.0,0.0,6.0,4.0,8.0,770
26.01.2024,0.0,0,15.0,16.0,1.0,0,0.0,0.0,5.0,0.0,8.0,0.0,20.0,990
25.01.2024,1.0,0,59.0,42.0,2.0,0,1.0,0.0,4.0,0.0,30.0,35.0,39.0,950
24.01.2024,2.0,0,61.0,31.0,22.0,0,1.0,0.0,7.0,0.0,13.0,37.0,49.0,840
23.01.2024,0.0,0,51.0,59.0,1.0,0,2.0,0.0,12.0,0.0,22.0,0.0,65.0,960
22.01.2024,2.0,0,21.0,23.0,1.0,0,0.0,0.0,5.0,0.0,11.0,25.0,29.0,830
21.01.2024,1.0,0,7.0,11.0,0.0,0,1.0,0.0,3.0,0.0,10.0,2.0,14.0,760
20.01.2024,0.0,0,14.0,10.0,0.0,0,1.0,0.0,5.0,0.0,4.0,5.0,17.0,750
19.01.2024,1.0,0,19.0,35.0,0.0,0,0.0,0.0,4.0,0.0,20.0,4.0,37.0,920
18.01.2024,0.0,0,24.0,38.0,1.0,0,2.0,0.0,13.0,0.0,21.0,41.0,39.0,780
17.01.2024,0.0,0,10.0,14.0,1.0,0,3.0,0.0,2.0,0.0,13.0,7.0,24.0,730
16.01.2024,3.0,2,30.0,36.0,1.0,0,3.0,0.0,9.0,0.0,24.0,12.0,33.0,1110
15.01.2024,2.0,0,24.0,20.0,1.0,0,1.0,0.0,3.0,0.0,14.0,4.0,31.0,980
14.01.2024,2.0,0,19.0,33.0,8.0,0,0.0,0.0,8.0,0.0,10.0,13.0,35.0,840
13.01.2024,4.0,0,18.0,15.0,0.0,0,0.0,0.0,6.0,0.0,5.0,12.0,20.0,700
12.01.2024,1.0,0,11.0,16.0,0.0,0,0.0,0.0,2.0,0.0,10.0,2.0,16.0,840
11.01.2024,2.0,0,15.0,22.0,1.0,0,1.0,0.0,1.0,0.0,12.0,0.0,21.0,830
10.01.2024,1.0,0,12.0,13.0,0.0,0,2.0,0.0,3.0,0.0,2.0,11.0,23.0,800
09.01.2024,0.0,0,6.0,9.0,18.0,0,1.0,0.0,5.0,0.0,5.0,1.0,10.0,820
08.01.2024,1.0,0,13.0,14.0,1.0,0,2.0,0.0,1.0,0.0,9.0,11.0,19.0,440
07.01.2024,4.0,0,36.0,22.0,0.0,0,1.0,0.0,10.0,0.0,4.0,24.0,45.0,860
06.01.2024,2.0,0,13.0,16.0,0.0,0,1.0,0.0,4.0,0.0,7.0,16.0,15.0,800
05.01.2024,1.0,0,30.0,14.0,1.0,0,2.0,0.0,9.0,0.0,9.0,18.0,40.0,790
04.01.2024,1.0,0,28.0,21.0,2.0,0,2.0,0.0,6.0,0.0,12.0,5.0,32.0,780
03.01.2024,3.0,0,15.0,7.0,73.0,0,0.0,0.0,14.0,0.0,0.0,38.0,26.0,680
02.01.2024,1.0,0,49.0,13.0,1.0,0,2.0,0.0,7.0,0.0,7.0,53.0,35.0,810
01.01.2024,2.0,0,18.0,17.0,0.0,0,0.0,0.0,9.0,0.0,6.0,66.0,38.0,780
31.12.2023,2.0,0,30.0,17.0,1.0,0,4.0,0.0,8.0,0.0,8.0,37.0,48.0,960
